,title,url,img_src,genre
0,천지해,https://www.lezhin.com/ko/comic/cheonjihae,https://ccdn.lezhin.com/v2/comics/59/images/thumbnails/1,fantasy
1,여우비 내리는 날에,https://www.lezhin.com/ko/comic/foxrain,https://ccdn.lezhin.com/v2/comics/5901673735454720/images/thumbnails/1,school
2,정당한 기만,https://www.lezhin.com/ko/comic/giman,https://ccdn.lezhin.com/v2/comics/5675252141588480/images/thumbnails/1,bl
3,부랄친구,https://www.lezhin.com/ko/comic/bff,https://ccdn.lezhin.com/v2/comics/5474379383439360/images/thumbnails/1,gag
4,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
5,아버지의 집밥,https://www.lezhin.com/ko/comic/cooksilver,https://ccdn.lezhin.com/v2/comics/6049192073035776/images/thumbnails/1,drama
6,명동젠틀맨,https://www.lezhin.com/ko/comic/gentleman,https://ccdn.lezhin.com/v2/comics/5714360039440384/images/thumbnails/1,drama
7,달토끼와 안드로이드,https://www.lezhin.com/ko/comic/moonrabbit,https://ccdn.lezhin.com/v2/comics/4508665371033600/images/thumbnails/1,gag
8,펀칭머신,https://www.lezhin.com/ko/comic/boxing_machine,https://ccdn.lezhin.com/v2/comics/4664659247431680/images/thumbnails/1,action
9,타임라인,https://www.lezhin.com/ko/comic/timeline,https://ccdn.lezhin.com/v2/comics/4995133933682688/images/thumbnails/1,drama
10,기절소녀 하나미!,https://www.lezhin.com/ko/comic/haami,https://ccdn.lezhin.com/v2/comics/4649055289081856/images/thumbnails/1,romance
11,데스크레센도,https://www.lezhin.com/ko/comic/cranberry_juice,https://ccdn.lezhin.com/v2/comics/6227818152787968/images/thumbnails/1,drama
12,안아줄게 (Burn It),https://www.lezhin.com/ko/comic/burnit,https://ccdn.lezhin.com/v2/comics/5783553740963840/images/thumbnails/1,drama
13,제5열 Born to kill,https://www.lezhin.com/ko/comic/borntokill,https://ccdn.lezhin.com/v2/comics/5510000216965120/images/thumbnails/1,action
14,상상당 한의원,https://www.lezhin.com/ko/comic/sangsangdang,https://ccdn.lezhin.com/v2/comics/4821808825892864/images/thumbnails/1,drama
15,바른쀼생활,https://www.lezhin.com/ko/comic/20_nov,https://ccdn.lezhin.com/v2/comics/4566161041522688/images/thumbnails/1,day
16,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/thumbnails/1,day
17,커튼콜 아래그랑,https://www.lezhin.com/ko/comic/curtain_call,https://ccdn.lezhin.com/v2/comics/5/images/thumbnails/1,fantasy
18,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
19,citrus 시트러스,https://www.lezhin.com/ko/comic/citrus,https://ccdn.lezhin.com/v2/comics/4520115655147520/images/thumbnails/1,gl
20,BJ 알렉스[개정판],https://www.lezhin.com/ko/comic/bjalex_15,https://ccdn.lezhin.com/v2/comics/5367962326859776/images/thumbnails/1,bl
21,안나 이야기,https://www.lezhin.com/ko/comic/story_of_anna,https://ccdn.lezhin.com/v2/comics/4907714540535808/images/thumbnails/1,romance
22,아스란히,https://www.lezhin.com/ko/comic/dimly,https://ccdn.lezhin.com/v2/comics/5330738698911744/images/thumbnails/1,bl
23,모모세 헬프!!,https://www.lezhin.com/ko/comic/momose,https://ccdn.lezhin.com/v2/comics/6453048194760704/images/thumbnails/1,fantasy
24,이토록 다채로운 핏빛,https://www.lezhin.com/ko/comic/colorful,https://ccdn.lezhin.com/v2/comics/4705963879235584/images/thumbnails/1,fantasy
25,러브 포엠,https://www.lezhin.com/ko/comic/love_poem,https://ccdn.lezhin.com/v2/comics/4775451873837056/images/thumbnails/1,bl
26,주먹꾹,https://www.lezhin.com/ko/comic/cat_fist,https://ccdn.lezhin.com/v2/comics/4974892860702720/images/thumbnails/1,day
27,사랑이라 생각하지 않아,https://www.lezhin.com/ko/comic/not_in_love,https://ccdn.lezhin.com/v2/comics/6283465192701952/images/thumbnails/1,bl
28,사람의 사이로,https://www.lezhin.com/ko/comic/saram,https://ccdn.lezhin.com/v2/comics/5016813088342016/images/thumbnails/1,drama
29,미성년,https://www.lezhin.com/ko/comic/immature,https://ccdn.lezhin.com/v2/comics/4509144894210048/images/thumbnails/1,bl
30,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/thumbnails/1,day
31,4컷용사,https://www.lezhin.com/ko/comic/cartoon_hero,https://ccdn.lezhin.com/v2/comics/248/images/thumbnails/1,fantasy
32,오타쿠에게 사랑은 어려워,https://www.lezhin.com/ko/comic/otakoi,https://ccdn.lezhin.com/v2/comics/6466786480095232/images/thumbnails/1,romance
33,레그널 트리거,https://www.lezhin.com/ko/comic/regnal_trigger,https://ccdn.lezhin.com/v2/comics/6016237758185472/images/thumbnails/1,fantasy
34,안티피티[개정판],https://www.lezhin.com/ko/comic/anti_pt_15,https://ccdn.lezhin.com/v2/comics/4706772223328256/images/thumbnails/1,bl
35,러브 오어 헤이트[개정판],https://www.lezhin.com/ko/comic/loveorhate_15,https://ccdn.lezhin.com/v2/comics/5641055802818560/images/thumbnails/1,bl
36,잘 자 내 꿈 꿔,https://www.lezhin.com/ko/comic/goodnight,https://ccdn.lezhin.com/v2/comics/5611356766994432/images/thumbnails/1,mystery
37,조만국박람회,https://www.lezhin.com/ko/comic/expo,https://ccdn.lezhin.com/v2/comics/5275168827310080/images/thumbnails/1,day
38,인시크릿[개정판],https://www.lezhin.com/ko/comic/insecret_15,https://ccdn.lezhin.com/v2/comics/5665181768679424/images/thumbnails/1,bl
39,나의 수하[개정판],https://www.lezhin.com/ko/comic/my_suha_15,https://ccdn.lezhin.com/v2/comics/6234227991969792/images/thumbnails/1,bl
40,"시선 끝, 30도",https://www.lezhin.com/ko/comic/stare,https://ccdn.lezhin.com/v2/comics/5073458287935488/images/thumbnails/1,bl
41,구독한 식탁,https://www.lezhin.com/ko/comic/siktak,https://ccdn.lezhin.com/v2/comics/6602849724465152/images/thumbnails/1,day
42,신데렐라 리미트,https://www.lezhin.com/ko/comic/limit,https://ccdn.lezhin.com/v2/comics/6170000663052288/images/thumbnails/1,romance
43,용의 아들 최창식,https://www.lezhin.com/ko/comic/dragon,https://ccdn.lezhin.com/v2/comics/6613349614616576/images/thumbnails/1,gag
44,울프 인더 하우스[개정판],https://www.lezhin.com/ko/comic/wolf_inda_house_15,https://ccdn.lezhin.com/v2/comics/5005186239102976/images/thumbnails/1,bl
45,노라줘요 -우리 집 웰시코기 이야기-,https://www.lezhin.com/ko/comic/asondekure,https://ccdn.lezhin.com/v2/comics/5947434825154560/images/thumbnails/1,day
46,그렇게 내가 싫다면[개정판],https://www.lezhin.com/ko/comic/hate_me_15,https://ccdn.lezhin.com/v2/comics/6004151141072896/images/thumbnails/1,bl
47,보름달 식당,https://www.lezhin.com/ko/comic/kimbotong_fullmoon,https://ccdn.lezhin.com/v2/comics/5873525665628160/images/thumbnails/1,drama
48,연화,https://www.lezhin.com/ko/comic/lotus,https://ccdn.lezhin.com/v2/comics/5777799590772736/images/thumbnails/1,romance
49,소꿉친구가 자꾸 괴롭혀!,https://www.lezhin.com/ko/comic/nuri,https://ccdn.lezhin.com/v2/comics/5015838139940864/images/thumbnails/1,school
50,타치바나 백작,https://www.lezhin.com/ko/comic/tachibanabl,https://ccdn.lezhin.com/v2/comics/5878601020145664/images/thumbnails/1,bl
51,단금지교,https://www.lezhin.com/ko/comic/dangeum_jigyo,https://ccdn.lezhin.com/v2/comics/5778995370655744/images/thumbnails/1,bl
52,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/thumbnails/1,day
53,배달부들,https://www.lezhin.com/ko/comic/qr,https://ccdn.lezhin.com/v2/comics/4865266188943360/images/thumbnails/1,drama
54,LOVE WINS,https://www.lezhin.com/ko/comic/lovewins,https://ccdn.lezhin.com/v2/comics/4527189402124288/images/thumbnails/1,gl
55,머쉬룸 스프,https://www.lezhin.com/ko/comic/mushroomsoup,https://ccdn.lezhin.com/v2/comics/6614679117758464/images/thumbnails/1,fantasy
56,왓치가이,https://www.lezhin.com/ko/comic/watchguy,https://ccdn.lezhin.com/v2/comics/4625200343023616/images/thumbnails/1,drama
57,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
58,달의 상자,https://www.lezhin.com/ko/comic/dalbox,https://ccdn.lezhin.com/v2/comics/6014243980443648/images/thumbnails/1,fantasy
59,국제결혼 절대로 하지 마라,https://www.lezhin.com/ko/comic/never_marry_a_foreigner,https://ccdn.lezhin.com/v2/comics/6631616049119232/images/thumbnails/1,day
60,킹스메이커,https://www.lezhin.com/ko/comic/kingsmaker,https://ccdn.lezhin.com/v2/comics/5172685072760832/images/thumbnails/1,bl
61,피장파장의 오류,https://www.lezhin.com/ko/comic/you_too,https://ccdn.lezhin.com/v2/comics/6399994036813824/images/thumbnails/1,bl
62,차린 건 없지만,https://www.lezhin.com/ko/comic/meal,https://ccdn.lezhin.com/v2/comics/5186358298083328/images/thumbnails/1,day
63,1미터 사이,https://www.lezhin.com/ko/comic/1m,https://ccdn.lezhin.com/v2/comics/5950656923107328/images/thumbnails/1,romance
64,니 친구 김저키,https://www.lezhin.com/ko/comic/kimjerky,https://ccdn.lezhin.com/v2/comics/5118126189576192/images/thumbnails/1,day
65,바람,https://www.lezhin.com/ko/comic/wind,https://ccdn.lezhin.com/v2/comics/6400253992501248/images/thumbnails/1,fantasy
66,4와 2분의 1 정거장,https://www.lezhin.com/ko/comic/station,https://ccdn.lezhin.com/v2/comics/6444206006337536/images/thumbnails/1,bl
67,풀스 리마스터,https://www.lezhin.com/ko/comic/fools_re,https://ccdn.lezhin.com/v2/comics/6522308882137088/images/thumbnails/1,bl
68,주인의 사정[개정판],https://www.lezhin.com/ko/comic/jooin_15,https://ccdn.lezhin.com/v2/comics/5669970438848512/images/thumbnails/1,bl
69,비 갠 뒤 우리들을 따라,https://www.lezhin.com/ko/comic/aftertherain,https://ccdn.lezhin.com/v2/comics/5784277577433088/images/thumbnails/1,bl
70,꽃점 봐 드립니다,https://www.lezhin.com/ko/comic/flowertaro,https://ccdn.lezhin.com/v2/comics/6128037428264960/images/thumbnails/1,drama
71,살맛 : 전생에 나라를 구했습니다[개정판],https://www.lezhin.com/ko/comic/salmat_15,https://ccdn.lezhin.com/v2/comics/5420909429325824/images/thumbnails/1,romance
72,Teach Me!,https://www.lezhin.com/ko/comic/teachme,https://ccdn.lezhin.com/v2/comics/5411508990312448/images/thumbnails/1,bl
73,삐딱한 기억 사전,https://www.lezhin.com/ko/comic/crooked_pedia,https://ccdn.lezhin.com/v2/comics/5487399481769984/images/thumbnails/1,day
74,바리데기 별자국,https://www.lezhin.com/ko/comic/baridegi,https://ccdn.lezhin.com/v2/comics/4520271553298432/images/thumbnails/1,fantasy
75,한여름 밤의 꿈,https://www.lezhin.com/ko/comic/midsummer,https://ccdn.lezhin.com/v2/comics/5600310336225280/images/thumbnails/1,fantasy
76,아이싱,https://www.lezhin.com/ko/comic/icing,https://ccdn.lezhin.com/v2/comics/6550274492923904/images/thumbnails/1,action
77,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/thumbnails/1,day
78,바나나툰,https://www.lezhin.com/ko/comic/bananatoon,https://ccdn.lezhin.com/v2/comics/6551967191793664/images/thumbnails/1,day
79,히어로즈 플랜비,https://www.lezhin.com/ko/comic/planb,https://ccdn.lezhin.com/v2/comics/312/images/thumbnails/1,action
80,이름 없는 가게,https://www.lezhin.com/ko/comic/noname_shop,https://ccdn.lezhin.com/v2/comics/5967542155214848/images/thumbnails/1,fantasy
81,집사랑,https://www.lezhin.com/ko/comic/butlove,https://ccdn.lezhin.com/v2/comics/6456906317627392/images/thumbnails/1,bl
82,돌아올 땐 해일같이,https://www.lezhin.com/ko/comic/likeatsunami,https://ccdn.lezhin.com/v2/comics/5742475241193472/images/thumbnails/1,action
83,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
84,방과후에 3,https://www.lezhin.com/ko/comic/afterschool3,https://ccdn.lezhin.com/v2/comics/6657732865032192/images/thumbnails/1,mystery
85,구최애로부터 비밀을 사수하라!,https://www.lezhin.com/ko/comic/exonepick,https://ccdn.lezhin.com/v2/comics/6430096279011328/images/thumbnails/1,romance
86,소년이 소년에게,https://www.lezhin.com/ko/comic/dear_boy,https://ccdn.lezhin.com/v2/comics/6402044966010880/images/thumbnails/1,bl
87,일어나서 사랑을 시작해,https://www.lezhin.com/ko/comic/wake_up,https://ccdn.lezhin.com/v2/comics/5099211312922624/images/thumbnails/1,bl
88,헌터의 약혼자로 살아남기,https://www.lezhin.com/ko/comic/hunterlover,https://ccdn.lezhin.com/v2/comics/6561586036146176/images/thumbnails/1,romance
89,아르카나 판타지,https://www.lezhin.com/ko/comic/arcana_fantasy,https://ccdn.lezhin.com/v2/comics/6657233319231488/images/thumbnails/1,fantasy
90,보름달 식당,https://www.lezhin.com/ko/comic/kimbotong_fullmoon,https://ccdn.lezhin.com/v2/comics/5873525665628160/images/thumbnails/1,drama
91,전설의 과학도들,https://www.lezhin.com/ko/comic/kimbotong_wabtoon,https://ccdn.lezhin.com/v2/comics/5914872409817088/images/thumbnails/1,drama
92,레바툰,https://www.lezhin.com/ko/comic/revatoon,https://ccdn.lezhin.com/v2/comics/260/images/thumbnails/1,day
93,A와 B의 초상,https://www.lezhin.com/ko/comic/portrait,https://ccdn.lezhin.com/v2/comics/6735413248917504/images/thumbnails/1,bl
94,매드 독,https://www.lezhin.com/ko/comic/mad_dog,https://ccdn.lezhin.com/v2/comics/5290374773145600/images/thumbnails/1,bl
95,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/thumbnails/1,day
96,나는 너의 귀여운 카피캣!,https://www.lezhin.com/ko/comic/copycat,https://ccdn.lezhin.com/v2/comics/5305536612728832/images/thumbnails/1,bl
97,하루종일 조아영,https://www.lezhin.com/ko/comic/joayoung,https://ccdn.lezhin.com/v2/comics/4537933260652544/images/thumbnails/1,day
98,친하게 지내자,https://www.lezhin.com/ko/comic/together,https://ccdn.lezhin.com/v2/comics/4807559635271680/images/thumbnails/1,day
99,에로만화부!,https://www.lezhin.com/ko/comic/eroticomic_club,https://ccdn.lezhin.com/v2/comics/5089653580955648/images/thumbnails/1,school
100,2주간 재워주세요,https://www.lezhin.com/ko/comic/2weeks,https://ccdn.lezhin.com/v2/comics/5053488885465088/images/thumbnails/1,drama
101,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
102,삼국지 가후전 R,https://www.lezhin.com/ko/comic/gahu_r,https://ccdn.lezhin.com/v2/comics/4609020734078976/images/thumbnails/1,drama
103,라온의 남자,https://www.lezhin.com/ko/comic/raon,https://ccdn.lezhin.com/v2/comics/6430757328846848/images/thumbnails/1,bl
104,블랙보이,https://www.lezhin.com/ko/comic/blackboy,https://ccdn.lezhin.com/v2/comics/235/images/thumbnails/1,fantasy
105,나와 호랑이님,https://www.lezhin.com/ko/comic/mylovetiger,https://ccdn.lezhin.com/v2/comics/277/images/thumbnails/1,fantasy
106,천사의 용도,https://www.lezhin.com/ko/comic/angelsuse,https://ccdn.lezhin.com/v2/comics/5892678096060416/images/thumbnails/1,romance
107,황룡전 [개정판],https://www.lezhin.com/ko/comic/hwangryong_15,https://ccdn.lezhin.com/v2/comics/5510340547772416/images/thumbnails/1,bl
108,조만국박람회,https://www.lezhin.com/ko/comic/expo,https://ccdn.lezhin.com/v2/comics/5275168827310080/images/thumbnails/1,day
109,사랑이라 하기엔 기분 나빠,https://www.lezhin.com/ko/comic/hard_to_say_love,https://ccdn.lezhin.com/v2/comics/4511761836933120/images/thumbnails/1,romance
110,마들레느가 9번지,https://www.lezhin.com/ko/comic/m_street_no9,https://ccdn.lezhin.com/v2/comics/6/images/thumbnails/1,drama
111,제 3 경호팀,https://www.lezhin.com/ko/comic/3rd_security,https://ccdn.lezhin.com/v2/comics/185/images/thumbnails/1,action
112,주먹꾹,https://www.lezhin.com/ko/comic/cat_fist,https://ccdn.lezhin.com/v2/comics/4974892860702720/images/thumbnails/1,day
113,조만국의 영화캠프,https://www.lezhin.com/ko/comic/movie,https://ccdn.lezhin.com/v2/comics/5437222505283584/images/thumbnails/1,gag
114,심펭져스,https://www.lezhin.com/ko/comic/kimbotong_hirawebtoon,https://ccdn.lezhin.com/v2/comics/5125076916699136/images/thumbnails/1,drama
115,킬러가 사랑에 빠졌을 때,https://www.lezhin.com/ko/comic/killer,https://ccdn.lezhin.com/v2/comics/6181022497832960/images/thumbnails/1,bl
116,클라우드,https://www.lezhin.com/ko/comic/cloud,https://ccdn.lezhin.com/v2/comics/5183802990723072/images/thumbnails/1,bl
117,BJ 엘프의 요리 채널,https://www.lezhin.com/ko/comic/bjelf,https://ccdn.lezhin.com/v2/comics/5206473638477824/images/thumbnails/1,gag
118,불멸의 날들,https://www.lezhin.com/ko/comic/ImmortalDays,https://ccdn.lezhin.com/v2/comics/5308438415671296/images/thumbnails/1,action
119,백억년을 자는 남자,https://www.lezhin.com/ko/comic/sleepingman,https://ccdn.lezhin.com/v2/comics/5551016703033344/images/thumbnails/1,drama
120,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
121,무명의 등불,https://www.lezhin.com/ko/comic/from_nothing,https://ccdn.lezhin.com/v2/comics/4593648627417088/images/thumbnails/1,drama
122,데우스 바드 마키나 2 : 선택받은 잡것,https://www.lezhin.com/ko/comic/bard2,https://ccdn.lezhin.com/v2/comics/6171464924725248/images/thumbnails/1,fantasy
123,메리 고 라운드,https://www.lezhin.com/ko/comic/merry_go_round,https://ccdn.lezhin.com/v2/comics/5274670161854464/images/thumbnails/1,romance
124,차린 건 없지만,https://www.lezhin.com/ko/comic/meal,https://ccdn.lezhin.com/v2/comics/5186358298083328/images/thumbnails/1,day
125,내가 원하는 건,https://www.lezhin.com/ko/comic/alliwantis,https://ccdn.lezhin.com/v2/comics/6694684605874176/images/thumbnails/1,romance
126,"꽃은 꽃으로, 잎은 잎으로",https://www.lezhin.com/ko/comic/flower_leaf,https://ccdn.lezhin.com/v2/comics/5231277554073600/images/thumbnails/1,romance
127,최강! 중2병 그녀,https://www.lezhin.com/ko/comic/sophomoricillness,https://ccdn.lezhin.com/v2/comics/5057602952429568/images/thumbnails/1,drama
128,작전본부: 우리 집,https://www.lezhin.com/ko/comic/our_home,https://ccdn.lezhin.com/v2/comics/6013643236114432/images/thumbnails/1,drama
129,한여름 밤의 꿈,https://www.lezhin.com/ko/comic/midsummer,https://ccdn.lezhin.com/v2/comics/5600310336225280/images/thumbnails/1,fantasy
130,박씨유대기,https://www.lezhin.com/ko/comic/waitmrpark,https://ccdn.lezhin.com/v2/comics/6727405857669120/images/thumbnails/1,gag
131,표준규격전사,https://www.lezhin.com/ko/comic/standardheroes,https://ccdn.lezhin.com/v2/comics/4733152235356160/images/thumbnails/1,gag
132,던전 속 사정[개정판],https://www.lezhin.com/ko/comic/dungeon_15,https://ccdn.lezhin.com/v2/comics/5145070025637888/images/thumbnails/1,fantasy
133,지젤 씨의 피[개정판],https://www.lezhin.com/ko/comic/giselle_15,https://ccdn.lezhin.com/v2/comics/6607767147184128/images/thumbnails/1,fantasy
134,도깨비도 수풀이 있어야 모인다[개정판],https://www.lezhin.com/ko/comic/bush_15,https://ccdn.lezhin.com/v2/comics/5612748599263232/images/thumbnails/1,bl
135,포젯션,https://www.lezhin.com/ko/comic/pozetssion,https://ccdn.lezhin.com/v2/comics/4805662733369344/images/thumbnails/1,fantasy
136,비 마이 게스트[개정판],https://www.lezhin.com/ko/comic/bemyguest_15,https://ccdn.lezhin.com/v2/comics/4636603184644096/images/thumbnails/1,romance
137,FREAK-QUENCY : 프릭-퀀시,https://www.lezhin.com/ko/comic/freak,https://ccdn.lezhin.com/v2/comics/6504189639000064/images/thumbnails/1,fantasy
